dataset,size,algorithm,avg_time_us,avg_symbol_operations
common_prefix,700,merge_sort,326.8,155474
common_prefix,700,string_quick_sort,55.8,33205.6
common_prefix,700,string_merge_sort,320.2,155474
common_prefix,700,msd_radix_sort,192.8,29189.8
common_prefix,700,msd_radix_sort_with_quick_sort,168.8,29055.4
common_prefix,800,quick_sort,240,374088
common_prefix,800,merge_sort,374.8,184132
common_prefix,800,string_quick_sort,63.2,37980.2
common_prefix,800,string_merge_sort,354.8,184132
common_prefix,800,msd_radix_sort,222.2,33403.4
common_prefix,800,msd_radix_sort_with_quick_sort,191.2,33278.2
common_prefix,900,quick_sort,268,431075
common_prefix,900,merge_sort,436.4,213012
common_prefix,900,string_quick_sort,72.2,43326.8
common_prefix,900,string_merge_sort,411.4,213012
common_prefix,900,msd_radix_sort,247.2,37616.4
common_prefix,900,msd_radix_sort_with_quick_sort,214.6,37478
common_prefix,1000,quick_sort,303,491394
common_prefix,1000,merge_sort,503,244099
common_prefix,1000,string_quick_sort,81.8,47997.4
common_prefix,1000,string_merge_sort,474,244099
common_prefix,1000,msd_radix_sort,264.4,41832.6
common_prefix,1000,msd_radix_sort_with_quick_sort,232.6,41713.4
common_prefix,1100,quick_sort,335.6,552748
common_prefix,1100,merge_sort,536.8,273393
common_prefix,1100,string_quick_sort,87.8,53558.2
common_prefix,1100,string_merge_sort,512,273393
common_prefix,1100,msd_radix_sort,295,46052.4
common_prefix,1100,msd_radix_sort_with_quick_sort,252.2,45961.4
common_prefix,1200,quick_sort,374.2,608211
common_prefix,1200,merge_sort,600.2,305319
common_prefix,1200,string_quick_sort,99,58278.8
common_prefix,1200,string_merge_sort,601.6,305319
common_prefix,1200,msd_radix_sort,315.8,50273.8
common_prefix,1200,msd_radix_sort_with_quick_sort,276,50215.4
common_prefix,1300,quick_sort,404,656935
common_prefix,1300,merge_sort,659.8,337055
common_prefix,1300,string_quick_sort,106,63425
common_prefix,1300,string_merge_sort,640.8,337055
common_prefix,1300,msd_radix_sort,346.2,54510.8
common_prefix,1300,msd_radix_sort_with_quick_sort,292.8,54448.6
common_prefix,1400,quick_sort,438.6,722369
common_prefix,1400,merge_sort,725.8,368344
common_prefix,1400,string_quick_sort,116.2,68277
common_prefix,1400,string_merge_sort,699.2,368344
common_prefix,1400,msd_radix_sort,372,58724.4
common_prefix,1400,msd_radix_sort_with_quick_sort,321,58752
common_prefix,1500,quick_sort,480.8,780648
common_prefix,1500,merge_sort,779.4,400987
common_prefix,1500,string_quick_sort,126.4,73408.4
common_prefix,1500,string_merge_sort,760.4,400987
common_prefix,1500,msd_radix_sort,402.2,62927.6
common_prefix,1500,msd_radix_sort_with_quick_sort,344,62998.4
common_prefix,1600,quick_sort,516.2,844106
common_prefix,1600,merge_sort,830,434356
common_prefix,1600,string_quick_sort,135,78326.2
common_prefix,1600,string_merge_sort,808.8,434356
common_prefix,1600,msd_radix_sort,419.8,67146
common_prefix,1600,msd_radix_sort_with_quick_sort,364.4,67282.8
common_prefix,1700,quick_sort,564.4,888621
common_prefix,1700,merge_sort,900.4,467703
common_prefix,1700,string_quick_sort,140.4,83655.4
common_prefix,1700,string_merge_sort,846.6,467703
common_prefix,1700,msd_radix_sort,430.4,71364.8
common_prefix,1700,msd_radix_sort_with_quick_sort,383.4,71555.2
common_prefix,1800,quick_sort,595.6,964880
common_prefix,1800,merge_sort,954.4,501272
common_prefix,1800,string_quick_sort,152.2,88415.6
common_prefix,1800,string_merge_sort,933.6,501272
common_prefix,1800,msd_radix_sort,468.4,75579.2
common_prefix,1800,msd_radix_sort_with_quick_sort,406,75880
common_prefix,1900,quick_sort,627.6,1.02791e+06
common_prefix,1900,merge_sort,1009.2,536192
common_prefix,1900,string_quick_sort,162.4,93656.4
common_prefix,1900,string_merge_sort,995.2,536192
common_prefix,1900,msd_radix_sort,483.4,79790.6
common_prefix,1900,msd_radix_sort_with_quick_sort,429.4,80170.4
common_prefix,2000,quick_sort,662.8,1.08533e+06
common_prefix,2000,merge_sort,1079.8,568578
common_prefix,2000,string_quick_sort,171.6,99078.2
common_prefix,2000,string_merge_sort,1041.2,568578
common_prefix,2000,msd_radix_sort,503,84024.6
common_prefix,2000,msd_radix_sort_with_quick_sort,438.2,84469.2
common_prefix,2100,quick_sort,709.2,1.15318e+06
common_prefix,2100,merge_sort,1142.8,604210
common_prefix,2100,string_quick_sort,176,103856
common_prefix,2100,string_merge_sort,1099.4,604210
common_prefix,2100,msd_radix_sort,514.8,88238.4
common_prefix,2100,msd_radix_sort_with_quick_sort,450.6,88827.6
common_prefix,2200,quick_sort,734,1.20552e+06
common_prefix,2200,merge_sort,1215.4,639148
common_prefix,2200,string_quick_sort,185.6,109583
common_prefix,2200,string_merge_sort,1161.2,639148
common_prefix,2200,msd_radix_sort,545.4,92447.6
common_prefix,2200,msd_radix_sort_with_quick_sort,483.8,93151
common_prefix,2300,quick_sort,786.2,1.28375e+06
common_prefix,2300,merge_sort,1277.8,674368
common_prefix,2300,string_quick_sort,200.2,114032
common_prefix,2300,string_merge_sort,1224.2,674368
common_prefix,2300,msd_radix_sort,573.8,96669.6
common_prefix,2300,msd_radix_sort_with_quick_sort,507.4,97536.8
common_prefix,2400,quick_sort,813.8,1.34449e+06
common_prefix,2400,merge_sort,1319.8,710198
common_prefix,2400,string_quick_sort,200.8,119178
common_prefix,2400,string_merge_sort,1288,710198
common_prefix,2400,msd_radix_sort,600.6,100884
common_prefix,2400,msd_radix_sort_with_quick_sort,536,101810
common_prefix,2500,quick_sort,840.6,1.41713e+06
common_prefix,2500,merge_sort,1373.4,744362
common_prefix,2500,string_quick_sort,211.8,123676
common_prefix,2500,string_merge_sort,1350.8,744362
common_prefix,2500,msd_radix_sort,620.8,105097
common_prefix,2500,msd_radix_sort_with_quick_sort,544,106155
common_prefix,2600,quick_sort,883.2,1.45555e+06
common_prefix,2600,merge_sort,1450.4,780671
common_prefix,2600,string_quick_sort,219.4,129268
common_prefix,2600,string_merge_sort,1412.6,780671
common_prefix,2600,msd_radix_sort,641,109312
common_prefix,2600,msd_radix_sort_with_quick_sort,568,110521
common_prefix,2700,quick_sort,938,1.55311e+06
common_prefix,2700,merge_sort,1521.2,819460
common_prefix,2700,string_quick_sort,236,134570
common_prefix,2700,string_merge_sort,1480.8,819460
common_prefix,2700,msd_radix_sort,673.2,113557
common_prefix,2700,msd_radix_sort_with_quick_sort,602.2,114871
common_prefix,2800,quick_sort,974.8,1.60448e+06
common_prefix,2800,merge_sort,1569.8,854203
common_prefix,2800,string_quick_sort,237.6,140299
common_prefix,2800,string_merge_sort,1531.8,854203
common_prefix,2800,msd_radix_sort,671.4,117747
common_prefix,2800,msd_radix_sort_with_quick_sort,610.6,119242
common_prefix,2900,quick_sort,1014.6,1.67124e+06
common_prefix,2900,merge_sort,1633.4,892381
common_prefix,2900,string_quick_sort,246.4,144290
common_prefix,2900,string_merge_sort,1603,892381
common_prefix,2900,msd_radix_sort,696.6,121964
common_prefix,2900,msd_radix_sort_with_quick_sort,628.8,123615
common_prefix,3000,quick_sort,1026.4,1.73875e+06
common_prefix,3000,merge_sort,1696,928813
common_prefix,3000,string_quick_sort,255.8,150072
common_prefix,3000,string_merge_sort,1658,928813
common_prefix,3000,msd_radix_sort,734.6,126174
common_prefix,3000,msd_radix_sort_with_quick_sort,667.4,127965
