dataset,size,algorithm,avg_time_us,avg_symbol_operations
random,2200,string_quick_sort,114.2,23948.8
random,2200,string_merge_sort,889.6,30540.4
random,2200,msd_radix_sort,74,5139.2
random,2200,msd_radix_sort_with_quick_sort,63,11413
random,2300,quick_sort,394.8,360862
random,2300,merge_sort,982.4,32280
random,2300,string_quick_sort,118.6,25161.4
random,2300,string_merge_sort,953,32280
random,2300,msd_radix_sort,80.8,5418.8
random,2300,msd_radix_sort_with_quick_sort,65.8,12020.6
random,2400,quick_sort,418.8,379743
random,2400,merge_sort,1022.6,33974.4
random,2400,string_quick_sort,126.2,26209.2
random,2400,string_merge_sort,981,33974.4
random,2400,msd_radix_sort,86.2,5672.6
random,2400,msd_radix_sort_with_quick_sort,70.8,12841.6
random,2500,quick_sort,440.2,395346
random,2500,merge_sort,1083.4,35674.4
random,2500,string_quick_sort,129.2,28406.6
random,2500,string_merge_sort,1026.6,35674.4
random,2500,msd_radix_sort,86.4,5906.4
random,2500,msd_radix_sort_with_quick_sort,73.6,13411.6
random,2600,quick_sort,451.2,407191
random,2600,merge_sort,1119.6,37442.6
random,2600,string_quick_sort,138,30282.8
random,2600,string_merge_sort,1083.6,37442.6
random,2600,msd_radix_sort,93,6207.2
random,2600,msd_radix_sort_with_quick_sort,77.4,14105.4
random,2700,quick_sort,465.6,421849
random,2700,merge_sort,1162.4,39214
random,2700,string_quick_sort,144.8,31228
random,2700,string_merge_sort,1120.2,39214
random,2700,msd_radix_sort,101.2,6490.4
random,2700,msd_radix_sort_with_quick_sort,81,14763.6
random,2800,quick_sort,493.2,443044
random,2800,merge_sort,1200.8,40958.8
random,2800,string_quick_sort,155,32212.4
random,2800,string_merge_sort,1150.2,40958.8
random,2800,msd_radix_sort,104.4,6709.4
random,2800,msd_radix_sort_with_quick_sort,84.8,15540.2
random,2900,quick_sort,520.2,453427
random,2900,merge_sort,1282.8,42787.2
random,2900,string_quick_sort,155.8,32284.6
random,2900,string_merge_sort,1217.2,42787.2
random,2900,msd_radix_sort,111.6,7056.6
random,2900,msd_radix_sort_with_quick_sort,89,16074.8
random,3000,quick_sort,540.4,478200
random,3000,merge_sort,1307.8,44582.6
random,3000,string_quick_sort,164.6,35051.6
random,3000,string_merge_sort,1284,44582.6
random,3000,msd_radix_sort,115.4,7287.2
random,3000,msd_radix_sort_with_quick_sort,93.2,17085.4
reversed,100,quick_sort,9.2,13279.8
reversed,100,merge_sort,24.8,413.2
reversed,100,string_quick_sort,2,489.4
reversed,100,string_merge_sort,16.4,413.2
reversed,100,msd_radix_sort,5,176.8
reversed,100,msd_radix_sort_with_quick_sort,1,149.6
reversed,200,quick_sort,19.6,27852
reversed,200,merge_sort,54.4,1014
reversed,200,string_quick_sort,4.4,1174.2
reversed,200,string_merge_sort,40.2,1014
reversed,200,msd_radix_sort,10,393.8
reversed,200,msd_radix_sort_with_quick_sort,2,371.6
reversed,300,quick_sort,28.4,38896.6
reversed,300,merge_sort,87.2,1695.4
reversed,300,string_quick_sort,6,1915.8
reversed,300,string_merge_sort,68.4,1695.4
reversed,300,msd_radix_sort,14,615.2
reversed,300,msd_radix_sort_with_quick_sort,3.8,652.8
reversed,400,quick_sort,40.2,56799.2
reversed,400,merge_sort,118,2441.8
reversed,400,string_quick_sort,8.6,2685.6
reversed,400,string_merge_sort,89.2,2441.8
reversed,400,msd_radix_sort,15.4,826.2
reversed,400,msd_radix_sort_with_quick_sort,4.6,969.4
reversed,500,quick_sort,42.8,58389.6
reversed,500,merge_sort,147,3072.4
reversed,500,string_quick_sort,10.2,3515.6
reversed,500,string_merge_sort,119,3072.4
reversed,500,msd_radix_sort,18,1046.2
reversed,500,msd_radix_sort_with_quick_sort,6.6,1318.2
reversed,600,quick_sort,55.8,78099.4
reversed,600,merge_sort,186.2,4033.8
reversed,600,string_quick_sort,12.2,4320.4
reversed,600,string_merge_sort,149.8,4033.8
reversed,600,msd_radix_sort,21.2,1272
reversed,600,msd_radix_sort_with_quick_sort,9.2,1691.6
reversed,700,quick_sort,80.2,98831.2
reversed,700,merge_sort,223,4941.4
reversed,700,string_quick_sort,15,5185.4
reversed,700,string_merge_sort,177.4,4941.4
reversed,700,msd_radix_sort,22.6,1480
reversed,700,msd_radix_sort_with_quick_sort,9.6,2092.6
reversed,800,quick_sort,79.4,116186
reversed,800,merge_sort,255.4,5752.2
reversed,800,string_quick_sort,17.2,6079.4
reversed,800,string_merge_sort,213,5752.2
reversed,800,msd_radix_sort,25,1707.6
reversed,800,msd_radix_sort_with_quick_sort,11.2,2502
reversed,900,quick_sort,79.8,115312
reversed,900,merge_sort,282,6537.4
reversed,900,string_quick_sort,19,6962.8
reversed,900,string_merge_sort,231.4,6537.4
reversed,900,msd_radix_sort,30.2,1939
reversed,900,msd_radix_sort_with_quick_sort,13,2936.2
reversed,1000,quick_sort,86.2,118321
reversed,1000,merge_sort,326.8,7201.8
reversed,1000,string_quick_sort,21.2,7897.6
reversed,1000,string_merge_sort,256.6,7201.8
reversed,1000,msd_radix_sort,31.6,2168
reversed,1000,msd_radix_sort_with_quick_sort,15.2,3373
reversed,1100,quick_sort,97.4,136545
reversed,1100,merge_sort,347.2,8302
reversed,1100,string_quick_sort,24.6,8877.2
reversed,1100,string_merge_sort,294.8,8302
reversed,1100,msd_radix_sort,34.8,2407.6
